epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
115,1033.06,0.89158,1.77261,0.26353,0.72382,1.05183,0.82081,0.81041,0.84938,0.56901,0.74643,0.74444,0.74914,0.32519,1.18983,2.35839,0.04246,0.96179,1.31549,0.000145589,0.000145589,0.000145589
116,1041.33,0.84,1.65099,0.26265,0.67123,1.03469,0.81484,0.79742,0.85816,0.58676,0.73269,0.72908,0.74584,0.34248,1.17826,2.32152,0.04272,0.93187,1.30166,0.000141708,0.000141708,0.000141708
117,1050.36,0.86197,1.66587,0.26909,0.67762,1.04759,0.80807,0.79521,0.86109,0.58619,0.72732,0.72582,0.75936,0.35667,1.18874,2.28567,0.04357,0.89277,1.3104,0.000137827,0.000137827,0.000137827
118,1059.41,0.87657,1.70405,0.26643,0.70029,1.04699,0.83054,0.7752,0.8694,0.59075,0.7529,0.70872,0.75898,0.36045,1.18468,2.30748,0.04378,0.92762,1.30899,0.000133946,0.000133946,0.000133946
119,1067.42,0.88075,1.71235,0.26174,0.6942,1.04336,0.87138,0.77454,0.87376,0.58888,0.78286,0.7037,0.76421,0.35029,1.19443,2.32204,0.04378,0.92259,1.33182,0.000130066,0.000130066,0.000130066
120,1076.69,0.85263,1.73878,0.28168,0.69904,1.03843,0.82435,0.77511,0.85589,0.57039,0.74054,0.70469,0.75766,0.33688,1.21495,2.30924,0.04013,0.90302,1.34313,0.000126185,0.000126185,0.000126185
121,1085.27,0.87068,1.74767,0.26753,0.6872,1.04599,0.87389,0.7486,0.85763,0.58239,0.78137,0.67824,0.75758,0.35957,1.1993,2.33862,0.04101,0.91409,1.32626,0.000122304,0.000122304,0.000122304
122,1093.36,0.87325,1.71478,0.25764,0.6966,1.05847,0.81964,0.74232,0.84727,0.57077,0.74014,0.66056,0.74425,0.34464,1.19839,2.32551,0.04044,0.99296,1.32573,0.000118423,0.000118423,0.000118423
123,1102.75,0.88257,1.70597,0.2705,0.69329,1.05989,0.82474,0.73936,0.8483,0.55477,0.7342,0.67391,0.7469,0.35294,1.23538,2.30028,0.04111,0.93828,1.33316,0.000114542,0.000114542,0.000114542
124,1110.29,0.87588,1.67694,0.2691,0.66792,1.04604,0.78266,0.76852,0.84239,0.56791,0.69599,0.69797,0.7289,0.34203,1.20862,2.33159,0.04347,0.97663,1.31326,0.000110662,0.000110662,0.000110662
125,1119.84,0.86307,1.65348,0.26752,0.68655,1.04729,0.81994,0.78347,0.84025,0.57302,0.73607,0.71464,0.73666,0.34224,1.19063,2.34973,0.04494,1.00797,1.3056,0.000106781,0.000106781,0.000106781
126,1128.7,0.86193,1.70072,0.26743,0.66802,1.03225,0.83958,0.78454,0.86329,0.57602,0.74967,0.71728,0.75265,0.35118,1.19481,2.29261,0.04583,0.92278,1.30739,0.0001029,0.0001029,0.0001029
127,1137.06,0.87338,1.61169,0.25574,0.68287,1.04846,0.80685,0.76463,0.85076,0.57657,0.72429,0.69827,0.74661,0.3404,1.19158,2.30453,0.04364,0.90651,1.31029,9.90192e-05,9.90192e-05,9.90192e-05
128,1146.64,0.85138,1.64914,0.26418,0.64677,1.03367,0.80237,0.75501,0.85119,0.57371,0.71868,0.6847,0.73317,0.34759,1.20107,2.3473,0.04172,0.96901,1.32282,9.51384e-05,9.51384e-05,9.51384e-05
129,1154.62,0.85714,1.6263,0.27421,0.6627,1.03933,0.87232,0.70431,0.8475,0.57535,0.78302,0.6383,0.74732,0.344,1.19814,2.34532,0.04277,0.98622,1.32058,9.12576e-05,9.12576e-05,9.12576e-05
130,1163.73,0.85232,1.69285,0.27174,0.70725,1.03804,0.85022,0.73206,0.85201,0.57295,0.76354,0.66249,0.74253,0.34495,1.21287,2.28058,0.04226,0.9269,1.32532,8.73768e-05,8.73768e-05,8.73768e-05
131,1172.78,0.86188,1.608,0.27528,0.67082,1.05097,0.82414,0.75601,0.85726,0.5799,0.74801,0.69221,0.74291,0.34539,1.20341,2.28812,0.04229,0.91687,1.32484,8.3496e-05,8.3496e-05,8.3496e-05
132,1180.62,0.83704,1.65202,0.26886,0.63864,1.03283,0.87155,0.72712,0.83325,0.56172,0.78475,0.66037,0.72936,0.33046,1.2048,2.32999,0.04092,0.97559,1.32697,7.96152e-05,7.96152e-05,7.96152e-05
133,1189.78,0.83918,1.68019,0.27335,0.6673,1.0292,0.83005,0.7282,0.82328,0.54839,0.73855,0.66308,0.71733,0.33622,1.21155,2.32014,0.04104,0.96897,1.32514,7.57344e-05,7.57344e-05,7.57344e-05
134,1197.71,0.81144,1.57974,0.25678,0.64752,1.01515,0.86534,0.718,0.83674,0.56683,0.79558,0.65349,0.74629,0.35289,1.19535,2.2893,0.04063,0.90713,1.32162,7.18536e-05,7.18536e-05,7.18536e-05
135,1207.47,0.85404,1.67101,0.26753,0.66445,1.03778,0.83934,0.73676,0.84502,0.57495,0.74193,0.67145,0.72881,0.34966,1.19603,2.30976,0.04143,0.9268,1.32286,6.79728e-05,6.79728e-05,6.79728e-05
136,1216.62,0.85765,1.62255,0.26107,0.67348,1.04482,0.80938,0.74847,0.83947,0.56131,0.7148,0.68684,0.72881,0.33172,1.21722,2.3419,0.04025,1.00006,1.33442,6.4092e-05,6.4092e-05,6.4092e-05
137,1224.34,0.84389,1.65028,0.2684,0.67648,1.04418,0.80342,0.76294,0.83658,0.55664,0.72065,0.69259,0.7261,0.33695,1.21095,2.33161,0.04082,1.00547,1.33897,6.02112e-05,6.02112e-05,6.02112e-05
138,1233.51,0.83892,1.59251,0.27513,0.66514,1.0365,0.81932,0.77139,0.84594,0.57546,0.73729,0.70602,0.74354,0.34242,1.2014,2.28591,0.04122,0.93584,1.3335,5.63304e-05,5.63304e-05,5.63304e-05
139,1241.72,0.81261,1.61455,0.2701,0.65144,1.0325,0.86783,0.74335,0.85808,0.5833,0.79063,0.68151,0.75766,0.34312,1.19993,2.2769,0.03997,0.89559,1.33213,5.24496e-05,5.24496e-05,5.24496e-05
140,1252.02,0.82421,1.57361,0.25718,0.64855,1.03667,0.83591,0.76818,0.86552,0.58136,0.76163,0.7065,0.76455,0.34634,1.20723,2.27538,0.04032,0.88159,1.33647,4.85688e-05,4.85688e-05,4.85688e-05
141,1265.97,0.82099,1.43737,0.18553,0.6121,1.03637,0.84234,0.74242,0.85855,0.57716,0.78553,0.65597,0.73793,0.3552,1.21455,2.29014,0.039,0.91251,1.34635,4.4688e-05,4.4688e-05,4.4688e-05
142,1275.24,0.81442,1.43506,0.18026,0.59474,1.03926,0.79132,0.81508,0.84728,0.56845,0.72165,0.74853,0.71912,0.34024,1.22967,2.3152,0.03789,0.99141,1.35599,4.08072e-05,4.08072e-05,4.08072e-05
143,1282.83,0.81185,1.37732,0.16435,0.56658,1.02454,0.84846,0.74438,0.83295,0.55039,0.75219,0.67945,0.70771,0.32738,1.23321,2.31566,0.03618,0.98807,1.35531,3.69264e-05,3.69264e-05,3.69264e-05
144,1292.3,0.79537,1.32719,0.15988,0.55765,1.0295,0.84804,0.73923,0.81258,0.53475,0.77045,0.67973,0.69981,0.317,1.22357,2.32331,0.03599,1.01359,1.35568,3.30456e-05,3.30456e-05,3.30456e-05
145,1299.61,0.78398,1.31164,0.15702,0.53959,1.0168,0.82574,0.75264,0.82554,0.55012,0.73748,0.7008,0.717,0.32475,1.21317,2.31201,0.03521,0.97751,1.34781,2.91648e-05,2.91648e-05,2.91648e-05
146,1308.83,0.78147,1.31725,0.16726,0.534,1.02468,0.82628,0.76793,0.85156,0.57106,0.75419,0.7109,0.74073,0.34025,1.2022,2.29353,0.03505,0.94129,1.33901,2.5284e-05,2.5284e-05,2.5284e-05
147,1316.83,0.77948,1.34296,0.15975,0.55469,1.01771,0.8293,0.77451,0.85391,0.57717,0.75882,0.71012,0.74724,0.34615,1.20364,2.28011,0.03454,0.92333,1.34341,2.14032e-05,2.14032e-05,2.14032e-05
148,1325.06,0.77782,1.33324,0.17751,0.55309,1.03613,0.84296,0.75942,0.84645,0.57035,0.77376,0.70095,0.74054,0.34171,1.20254,2.28469,0.03409,0.93002,1.3442,1.75224e-05,1.75224e-05,1.75224e-05
