epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
27,253.661,1.15588,3.1789,0.39666,1.51354,1.19503,0.79527,0.34886,0.40348,0.2616,0.60785,0.35624,0.35764,0.13919,1.24942,2.98349,0.12761,1.86357,1.30869,0.000487099,0.000487099,0.000487099
28,261.569,1.14675,3.15601,0.39274,1.40009,1.17842,0.64649,0.50313,0.43723,0.28431,0.63072,0.48253,0.37994,0.15033,1.24469,2.98877,0.11374,1.57275,1.3251,0.000483218,0.000483218,0.000483218
29,270.564,1.15153,3.13642,0.39202,1.45881,1.19303,0.51366,0.52919,0.44944,0.28691,0.43341,0.41524,0.34936,0.13111,1.24366,3.11683,0.11029,1.66038,1.34142,0.000479338,0.000479338,0.000479338
30,279.106,1.14418,3.06077,0.35999,1.37422,1.1753,0.47694,0.46799,0.43997,0.27512,0.89442,0.27256,0.36592,0.14638,1.28369,2.94726,0.11649,1.57788,1.33958,0.000475457,0.000475457,0.000475457
31,287.399,1.16386,3.18391,0.4026,1.39647,1.18094,0.69093,0.50991,0.49244,0.32076,0.61102,0.39301,0.40514,0.16477,1.2249,2.86367,0.10927,1.57608,1.33026,0.000471576,0.000471576,0.000471576
32,297.289,1.12802,2.91233,0.37821,1.36181,1.16156,0.64762,0.49449,0.52176,0.34217,0.51878,0.42222,0.40712,0.16108,1.23351,2.8708,0.10405,1.41635,1.34791,0.000467695,0.000467695,0.000467695
33,304.953,1.10542,2.93711,0.38122,1.31344,1.16535,0.57385,0.61996,0.52119,0.33695,0.31866,0.55278,0.42306,0.15891,1.2009,2.93072,0.10482,1.52831,1.32451,0.000463814,0.000463814,0.000463814
34,314.095,1.14236,2.94144,0.36188,1.30839,1.18277,0.74653,0.44422,0.52982,0.33828,0.56785,0.40274,0.4175,0.16889,1.22926,3.0077,0.10613,1.67855,1.34835,0.000459934,0.000459934,0.000459934
35,322.865,1.13577,3.00762,0.37877,1.33288,1.18365,0.58448,0.58085,0.58256,0.38252,0.52081,0.43241,0.46039,0.1765,1.20029,2.83281,0.09637,1.59806,1.31407,0.000456053,0.000456053,0.000456053
36,330.602,1.14711,2.86943,0.3734,1.29058,1.1764,0.85671,0.39367,0.58889,0.38568,0.41391,0.48699,0.465,0.17794,1.26231,2.96713,0.1045,1.36566,1.36047,0.000452172,0.000452172,0.000452172
37,339.994,1.10545,2.75041,0.3579,1.24052,1.12947,0.79353,0.4625,0.57687,0.38729,0.78599,0.33329,0.45851,0.18531,1.19376,2.8315,0.09905,1.52782,1.30526,0.000448291,0.000448291,0.000448291
38,347.567,1.1233,2.84397,0.38463,1.22565,1.15806,0.47177,0.56679,0.55386,0.363,0.35879,0.54167,0.44504,0.16388,1.19001,3.06308,0.10187,1.81048,1.3164,0.00044441,0.00044441,0.00044441
39,356.533,1.11597,2.83813,0.37872,1.19264,1.15567,0.4472,0.53663,0.55463,0.35129,0.36258,0.47685,0.41672,0.16511,1.2566,2.92303,0.09397,1.48291,1.35913,0.00044053,0.00044053,0.00044053
40,365.65,1.14541,2.79459,0.36398,1.2639,1.16563,0.57184,0.64044,0.59869,0.40606,0.49348,0.541,0.46978,0.19208,1.21144,2.83692,0.09747,1.33098,1.29789,0.000436649,0.000436649,0.000436649
41,373.551,1.12014,2.6969,0.37573,1.1733,1.14694,0.52972,0.58455,0.618,0.40988,0.46679,0.52997,0.53645,0.19867,1.23082,2.69518,0.08685,1.18772,1.28921,0.000432768,0.000432768,0.000432768
42,382.988,1.11811,2.68225,0.37242,1.19406,1.1563,0.62937,0.56099,0.62497,0.39963,0.53329,0.49109,0.47431,0.18141,1.30246,2.87464,0.09727,1.54131,1.39124,0.000428887,0.000428887,0.000428887
43,390.464,1.10655,2.66148,0.36962,1.16363,1.15388,0.70471,0.48955,0.53075,0.36708,0.61932,0.45324,0.45866,0.16665,1.24515,2.82596,0.09185,1.55794,1.32675,0.000425006,0.000425006,0.000425006
44,399.667,1.08076,2.64348,0.35555,1.12619,1.14532,0.43493,0.68129,0.62731,0.4047,0.41893,0.61879,0.52245,0.18884,1.16793,2.97721,0.09042,1.85523,1.32414,0.000421126,0.000421126,0.000421126
45,408.401,1.0976,2.63744,0.3664,1.16265,1.15789,0.84004,0.4023,0.61075,0.4168,0.3987,0.4351,0.47442,0.18585,1.21139,2.76839,0.08428,1.45003,1.31125,0.000417245,0.000417245,0.000417245
46,417.125,1.08338,2.61861,0.39154,1.15831,1.16038,0.50256,0.76646,0.6768,0.45602,0.4616,0.64012,0.52789,0.20392,1.16011,2.74697,0.08471,1.43335,1.29624,0.000413364,0.000413364,0.000413364
47,426.127,1.09443,2.53978,0.34574,1.0944,1.14439,0.68344,0.68568,0.74999,0.50063,0.53148,0.63056,0.60733,0.22751,1.23333,2.71251,0.08329,1.17938,1.30748,0.000409483,0.000409483,0.000409483
48,434.042,1.08688,2.66395,0.35902,1.12889,1.15298,0.5046,0.55181,0.59424,0.39577,0.4391,0.47114,0.48929,0.18681,1.25206,2.83569,0.08689,1.43458,1.32209,0.000405602,0.000405602,0.000405602
49,443.16,1.05622,2.55828,0.36277,1.07862,1.13423,0.48273,0.73148,0.664,0.43481,0.43456,0.62136,0.55566,0.21142,1.238,2.69702,0.0803,1.15264,1.3321,0.000401722,0.000401722,0.000401722
